traveler,partNo,pot,forecastPieces,receivedPieces,receivedBoxQty,receivedWeight,receiveDate,receivedBy,note,createdAt
713507,11548535,384,5200,5200,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713508,11548535,1798,5650,5650,,,2026-08-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713509,11548535,1783,5890,5890,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713510,11546377-PH-RO,1795,74870,74870,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713511,11546377-PH-RO,1794,58831,58831,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713512,11546377-PH-RO,1792,72792,72792,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713513,11546377-PH-RO,1793,60519,60519,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713514,11546377-PH-RO,1809,59805,59805,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713515,11546377-PH-RO,1810,74091,74091,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713516,11546377-PH-RO,1531,68247,68247,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713517,11546377-PH-RO,119,61558,61558,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713518,11546377-PH-RO,834,75195,75195,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713519,11546377-PH-RO,1443,55325,55325,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713526,47336AE,1804,25471,25471,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713527,47336AE,1801,23991,23991,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713528,47336AE,1805,23834,23834,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713529,47336AE,1806,25740,25740,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713530,NU1405-00,1618,82468,82468,,,2026-06-15,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713531,NU1405-00,1584,70584,70584,,,2026-06-15,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713532,NU1405-00,760,77597,77597,,,2026-06-15,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713533,NU1405-00,51,77662,77662,,,2026-06-15,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713536,H62324A,1752,42649,42649,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713538,W520113-S441,480,45784,45784,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713539,W520113-S441,968,39254,39254,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713540,W520113-S441,1031,42724,42724,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713541,W520113-S441,1607,41940,41940,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713542,W520113-S440,1036,43582,43582,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713543,W520113-S440,509,41866,41866,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713544,W520113-S440,1328,43843,43843,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713545,W520113-S440,1672,41082,41082,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713546,11549169,1549,23567,23567,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713547,11549169,1428,25478,25478,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713548,11549169,49,24692,24692,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713549,11549169,972,24055,24055,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713552,E6267AB,1556,22420,22420,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713553,E6267AB,514,26603,26603,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713556,11611121,577,22933,22933,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713557,11611121,948,26533,26533,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713559,11611122,970,73733,73733,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713582,11546774,865,12927,12927,,,2026-08-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713583,11546774,469,12580,12580,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713584,11546774,1045,11656,11656,,,2026-08-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713585,11546774,1076,13569,13569,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713586,11546774,18,11759,11759,,,2026-08-21,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713587,11546774,1360,13466,13466,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713588,11546774,33,12657,12657,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713589,11546774,27,12401,12401,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713590,11546774,290,13004,13004,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713591,11546774,351,12105,12105,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713592,11546545,101,89083,89083,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713593,11546545,194,91000,91000,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713594,11546545,1786,96833,96833,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713595,11546545,1789,90833,90833,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713596,11546545,750,89583,89583,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713597,11546545,1649,91667,91667,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713598,11546545,1412,95417,95417,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713599,11546545,697,86917,86917,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713600,11546545,398,87917,87917,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713601,11546545,274,93250,93250,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713602,11546545,1802,88583,88583,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713603,11546545,591,96167,96167,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713604,11546545,1790,90917,90917,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713605,11546545,1791,96667,96667,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713606,11546545,1068,89500,89500,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713607,11546545,764,93417,93417,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713609,NU5108-00,587,70000,70000,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713610,NU5108-00,1673,65000,65000,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713611,NU5108-00,1800,70000,70000,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713612,NU5108-00,545,66000,66000,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713622,06104388AA,1108,20000,20000,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713623,06104388AA,219,20751,20751,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713624,06104388AA,1345,20024,20024,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713625,06104388AA,574,20460,20460,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713641,06511701AA,1014,79424,79424,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713642,06511701AA,1439,75036,75036,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713647,06101831-A,393,37899,37899,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713648,06101831-A,1686,38949,38949,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713649,06101831-A,1555,41014,41014,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713651,06101831-A,1053,37862,37862,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713653,06101831-A,979,41196,41196,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713654,06101831-A,1723,3841,3841,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713667,06100050-A,823,52713,52713,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713715,NU5108-00,1385,72000,72000,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713716,NU5108-00,1325,67000,67000,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713717,11546364-PH-RO,801,150482,150482,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713719,NU3025-00,1035,46000,46000,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713720,NU3025-00,622,35000,35000,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713721,11546364-PH-RO,692,117349,117349,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713724,NU5108-00,1048,66000,66000,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713726,NU5108-00,873,52000,52000,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713727,NU5108-00,604,74000,74000,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713728,H62534A,1646,22222,22222,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713729,H62534A,125,22803,22803,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713734,11546449,1714,89237,89237,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713735,11546449,658,83305,83305,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713736,11546449,617,80254,80254,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713737,11546449,913,93305,93305,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713738,11546449,1663,82712,82712,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713739,11546449,1704,88305,88305,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713740,11546449,1559,92458,92458,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713741,11546449,1306,82966,82966,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713742,11546449,1343,89915,89915,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713743,11546449,508,86356,86356,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713744,11546449,976,95254,95254,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713745,11546449,895,79407,79407,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713746,11546449,1083,91102,91102,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713747,11546449,1525,84237,84237,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713748,11546449,293,95339,95339,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713749,11546449,1501,80508,80508,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713750,11546449,1040,85593,85593,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713751,11546449,976,95254,95254,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713752,11546449,1426,86186,86186,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713753,11546449,540,88644,88644,,,2026-07-22,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713769,W520514-S442,650,184231,184231,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713771,98055704,475,72736,72736,,,2026-07-20,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713791,NU3516-00,113,14000,14000,,,2026-09-03,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713802,11546378-CA-IN-B,1746,51600,51600,,,2026-09-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713803,11546378-CA-IN-B,1081,43680,43680,,,2026-09-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713804,11546378-CA-IN-B,1561,40320,40320,,,2026-09-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713805,11546378-CA-IN-B,160,38600,38600,,,2026-09-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713852,11546703,1393,123704,123704,,,2026-08-12,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713853,11546703,960,125926,125926,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713854,11546703,1406,122963,122963,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713855,11546703,1395,127037,127037,,,2026-08-12,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713856,11546703,346,124444,124444,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713857,11546703,1552,124198,124198,,,2026-08-11,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713858,11546703,422,137654,137654,,,2026-08-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713859,11546703,55,110370,110370,,,2026-08-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713860,11561645,524,119870,119870,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713861,11561645,619,118961,118961,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713862,06511637AA,1690,43831,43831,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713863,06511637AA,275,38790,38790,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713864,11610091,1627,76818,76818,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713865,11610091,1016,74156,74156,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713866,06511672AA,444,47543,47543,,,2026-08-11,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713867,06511672AA,517,43276,43276,,,2026-08-12,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713868,W716298-S450,1422,89079,89079,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713869,W716298-S450,1112,122500,122500,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713870,06513554AA,1024,16627,16627,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713872,11602031,1397,4165,4165,,,2026-07-23,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713874,11602031,648,4027,4027,,,2026-07-23,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713882,11602031,914,4116,4116,,,2026-07-23,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713894,11546456,946,83033,83033,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713895,11546456,1369,70574,70574,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713896,11546456,1060,75410,75410,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713897,11546456,845,77049,77049,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713908,06101968-A,1066,78409,78409,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713909,06101968-A,45,68864,68864,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713911,11546566,1628,39556,39556,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713914,11546566,139,51222,51222,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713918,11546367-CA-IN,910,24156,24156,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713919,11546367-CA-IN,1809,24481,24481,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713920,11546367-CA-IN,1588,24545,24545,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713921,11546367-CA-IN,521,26299,26299,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713922,11546367-CA-IN,405,23983,23983,,,2026-08-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713924,06509967AA,KIB,40000,40000,,,2026-07-31,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713925,06509967AA,KIB,40000,40000,,,2026-07-31,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713926,06509967AA,KIB,40000,40000,,,2026-07-31,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713927,06509967AA,KIB,40000,40000,,,2026-07-31,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713928,06509967AA,KIB,40000,40000,,,2026-07-31,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713929,06509967AA,KIB,40000,40000,,,2026-07-31,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713938,06105048AA,KIB,40000,40000,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713939,06105048AA,KIB,40000,40000,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713940,11547176,KIB,45000,45000,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713941,11547176,KIB,45000,45000,,,2026-07-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713948,06101831-A,1674,40616,40616,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713951,06101831-A,560,37283,37283,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713952,06101831-A,903,37999,37999,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713953,06101831-A,171,42500,42500,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713954,06101831-A,400,40761,40761,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713955,06101831-A,1316,36703,36703,,,2026-07-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713957,06101831-A,1522,41739,41739,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713958,06101831-A,1655,37536,37536,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713959,06101831-A,1599,39638,39638,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
713960,06101831-A,882,40870,40870,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
